date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
12-38-05,0,32,0,0,0,0,0,0,0,33,32
12-39-05,0,33,0,0,0,0,0,0,0,32,33
12-40-05,0,0,0,0,0,0,0,0,0,0,33
12-41-05,0,0,0,0,0,0,0,0,0,0,34
12-42-05,0,32,0,0,0,33,0,0,32,0,0
12-43-05,0,0,0,0,0,0,0,0,32,0,0
12-44-05,0,0,0,0,0,32,0,0,0,35,33
12-45-05,0,0,0,0,0,0,0,0,0,33,32
12-46-05,0,0,0,0,0,32,0,0,0,35,0
12-47-05,0,0,0,0,0,0,0,0,0,32,0
12-51-25,0,0,0,0,0,0,0,0,0,0,0
12-52-05,0,34,0,0,0,36,35,0,40,36,0
12-53-05,0,42,0,0,0,36,44,0,35,40,0
12-54-05,0,50,0,0,0,62,59,0,34,42,0
12-55-05,0,50,0,0,0,63,58,0,46,41,0
12-56-05,0,50,0,0,0,62,56,0,43,45,33
12-57-05,0,51,0,0,0,63,49,0,0,35,0
12-58-05,0,51,0,0,0,63,50,0,40,35,0
12-59-05,0,50,0,0,0,63,50,0,59,36,0
