date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin
11-31-05,0,0,0,0,0,35,0,0,30,0,0
11-32-05,0,31,0,0,0,33,0,0,32,0,0
11-33-05,0,30,0,0,30,0,0,0,32,31,0
11-34-05,0,30,0,0,36,0,0,0,33,30,0
11-35-05,0,30,0,0,0,32,0,0,31,34,30
11-36-05,0,0,0,0,0,31,0,0,31,0,0
11-37-05,0,0,0,0,39,31,0,0,31,32,0
11-38-05,0,0,0,0,31,47,0,0,30,32,0
11-39-05,0,0,0,0,30,31,0,0,31,34,0
11-40-05,0,0,0,0,30,31,0,0,32,35,0
11-41-05,0,0,0,0,0,33,0,0,32,34,31
11-42-05,0,31,0,0,0,0,0,0,32,41,31
11-43-05,0,30,0,0,47,0,0,0,0,54,0
11-44-05,0,0,0,0,52,0,0,0,32,35,0
11-45-05,0,30,0,0,0,30,0,0,0,0,0
11-46-45,0,0,0,0,0,0,0,0,34,0,0
11-47-05,0,0,0,0,0,0,0,0,30,0,0
11-48-05,0,0,0,0,0,30,0,0,0,0,31
11-49-05,0,33,0,0,0,34,0,0,36,0,37
11-50-05,0,0,0,0,0,0,0,0,0,32,0
11-51-05,0,0,0,0,46,0,0,0,0,30,0
11-52-05,0,0,0,0,0,30,0,0,31,0,0
11-53-05,0,0,0,0,0,30,0,0,31,0,30
11-54-05,0,0,0,0,30,32,0,0,31,0,35
11-55-05,0,0,0,0,0,33,0,0,0,0,31
11-56-05,0,0,0,0,0,31,0,0,31,0,38
11-57-05,0,0,0,0,0,30,0,0,32,0,34
11-58-05,0,0,0,0,0,31,0,0,32,0,0
11-59-05,0,41,0,0,0,34,0,0,32,0,0
12-00-05,0,0,0,0,0,0,0,0,53,0,0
12-01-05,0,0,0,0,0,0,0,0,0,31,0
12-02-05,0,0,0,0,0,0,0,0,0,40,0
12-03-05,0,0,0,0,34,31,0,0,33,0,0
12-04-05,0,0,0,0,0,0,0,0,43,37,0
12-05-05,0,0,0,0,0,0,0,0,43,34,0
12-06-05,0,0,0,0,0,0,0,0,51,0,0
12-07-05,0,0,0,0,0,0,0,0,45,0,0
12-08-05,0,0,0,0,0,0,0,0,48,0,0
12-09-05,0,0,0,0,0,0,0,0,41,31,0
12-10-05,0,47,0,0,35,0,0,0,0,40,30
12-11-05,0,0,0,0,0,0,0,0,44,0,0
12-12-05,0,0,0,0,0,0,0,0,50,0,0
12-13-05,0,0,0,0,0,0,0,0,50,0,0
12-14-05,0,0,0,0,0,0,0,0,33,0,0
12-15-05,0,0,0,0,0,0,0,0,54,0,0
12-16-05,0,0,0,0,0,30,0,0,44,0,0
12-17-05,0,0,0,0,0,0,0,0,47,0,0
12-18-05,0,0,0,0,0,0,0,0,49,0,0
12-19-05,0,0,0,0,0,0,0,0,43,0,0
12-20-05,0,0,0,0,0,0,0,0,50,0,0
12-21-05,0,0,0,0,0,0,0,0,43,0,0
12-22-05,0,0,0,0,0,31,0,0,47,0,0
12-23-05,0,0,0,0,0,31,0,0,50,0,0
12-24-05,0,0,0,0,0,0,0,0,48,0,0
12-25-05,0,0,0,0,0,0,0,0,38,0,0
12-26-05,0,0,0,0,0,31,0,0,49,0,0
12-27-05,0,0,0,0,0,32,0,0,32,0,0
12-28-05,0,0,0,0,0,0,0,0,35,0,0
12-29-05,0,0,0,0,0,30,0,0,35,0,0
12-30-05,0,0,0,0,0,35,0,0,0,0,0
12-31-05,0,0,0,0,0,31,0,0,40,0,0
12-32-05,0,0,0,0,31,0,0,0,0,0,31
12-33-05,0,0,0,0,0,31,0,0,31,0,0
12-34-05,0,0,0,0,0,31,0,0,0,0,0
12-35-05,0,0,0,0,0,40,0,0,39,0,0
12-36-05,0,0,0,0,0,40,0,0,0,0,0
12-37-05,0,0,0,0,0,40,0,0,31,0,0
12-38-05,0,0,0,0,0,34,0,0,0,0,0
12-39-05,0,0,0,0,0,35,0,0,53,0,0
12-40-05,0,0,0,0,0,0,0,0,39,0,0
12-41-05,0,40,0,0,0,57,0,0,42,0,0
12-42-05,0,44,0,0,30,58,0,0,42,0,0
12-43-05,0,44,0,0,0,55,0,0,31,0,0
12-44-05,0,44,0,0,0,55,0,0,31,0,0
12-45-05,0,44,0,0,0,55,0,0,31,0,0
12-46-05,0,45,0,0,0,55,0,0,0,0,0
12-47-05,0,44,0,0,0,55,0,0,35,0,0
12-48-05,0,43,0,0,0,56,0,0,33,32,30
12-49-05,0,44,0,0,0,56,0,0,51,44,0
12-50-05,0,43,0,0,0,55,0,0,52,39,0
12-51-05,0,43,0,0,0,54,0,0,40,53,0
12-52-05,0,44,0,0,34,54,0,0,35,53,0
12-53-05,0,44,0,0,42,51,0,0,30,53,0
12-54-05,0,42,0,0,58,52,0,0,32,53,0
12-55-05,0,40,0,0,57,52,0,0,54,51,0
12-56-05,0,38,0,0,55,56,0,0,32,49,0
12-57-05,0,38,0,0,49,55,0,0,0,43,0
12-58-05,0,38,0,0,49,55,0,0,34,43,0
12-59-05,0,38,0,0,48,56,0,0,40,44,0
