date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-47-41,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-47-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-48-31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-48-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-48-51,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-49-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-49-51,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-50-51,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-51-31,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
09-51-41,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
09-51-51,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-52-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
09-52-11,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
09-52-21,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
09-52-31,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
09-52-41,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
09-52-51,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
09-53-11,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
09-54-51,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
09-59-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
10-03-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-11-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
10-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-13-41,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-15-11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
