date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-27-01,31,47,0,0,0,51,0,0,0,50,0,0,52,52,0,31
09-27-11,0,47,0,0,0,52,0,0,0,48,0,0,52,49,0,31
09-27-21,31,45,0,0,0,54,0,0,0,45,0,0,52,54,0,31
09-27-31,0,46,0,0,31,52,0,0,0,43,0,0,50,52,0,31
09-27-41,0,45,0,0,0,52,0,0,0,48,0,0,51,52,0,0
09-27-51,31,45,0,0,31,54,0,31,0,43,0,0,54,44,0,32
09-28-01,31,47,0,0,0,53,31,0,0,48,0,0,51,51,0,33
09-28-11,0,48,0,0,31,51,0,0,0,45,0,0,52,47,0,31
09-28-21,0,44,0,0,31,53,0,0,0,45,0,0,52,48,0,32
09-28-31,40,46,0,0,31,54,0,0,0,45,0,0,51,48,0,0
09-28-41,31,37,0,0,0,51,0,0,0,48,0,0,51,51,0,0
09-28-51,0,45,0,0,0,47,0,0,0,45,0,0,51,48,0,31
09-29-01,0,45,0,0,0,53,0,0,0,0,0,0,52,50,0,32
09-29-11,0,47,0,0,0,54,0,0,0,0,0,0,52,52,0,34
09-29-21,0,46,0,0,0,54,31,0,0,45,0,0,51,50,0,34
09-29-31,47,0,0,0,31,51,0,0,0,45,0,0,51,48,0,33
09-29-41,0,46,0,0,0,54,31,0,0,48,0,0,52,51,0,33
09-29-51,31,44,0,0,0,55,35,0,0,47,0,0,50,45,0,0
09-30-01,49,45,0,0,31,54,33,0,0,44,0,0,50,0,0,33
09-30-11,0,46,0,0,0,55,36,0,0,44,0,0,45,50,0,33
09-30-21,0,45,0,0,0,51,0,0,0,36,0,0,52,54,0,32
09-30-31,49,47,0,0,0,48,0,0,0,45,0,0,45,50,0,31
09-30-41,31,46,0,0,31,50,0,0,0,51,0,0,51,48,0,31
09-30-51,47,46,0,0,31,49,0,0,0,45,0,0,50,50,0,33
09-31-01,37,47,0,0,0,51,31,0,0,44,0,0,50,47,0,33
09-31-11,36,40,0,0,0,52,0,0,0,46,0,0,31,44,0,42
09-31-21,31,39,0,0,0,55,0,0,46,46,0,0,0,43,0,0
09-31-31,0,47,0,0,0,54,0,0,0,47,0,0,0,47,0,0
09-31-41,36,42,0,0,0,52,31,0,0,43,0,0,0,43,31,0
09-31-51,0,44,0,0,0,49,31,0,0,49,0,0,31,45,0,0
09-32-01,0,35,0,0,0,51,0,0,0,48,0,0,0,52,0,0
09-32-11,0,0,0,0,0,49,0,0,0,50,0,0,0,44,0,0
09-32-21,31,41,0,0,0,52,0,0,0,42,0,0,0,47,0,0
09-32-31,31,39,0,0,0,50,0,0,0,47,0,0,0,48,0,0
09-32-41,31,44,0,0,0,43,0,0,0,47,0,0,0,48,0,0
09-32-51,37,44,0,0,0,50,0,0,0,47,0,0,0,41,0,0
09-33-01,33,42,0,0,0,52,31,0,0,43,0,0,0,45,0,0
09-33-11,42,42,0,0,0,51,0,0,0,43,0,0,0,43,0,0
09-33-21,31,43,0,0,0,54,0,0,0,47,0,0,0,45,0,0
09-33-31,31,46,0,0,0,55,0,0,0,44,0,0,0,46,0,0
09-33-41,0,45,0,0,31,54,0,0,0,43,0,0,0,47,0,0
09-33-51,0,48,0,0,0,53,0,0,0,42,0,0,0,47,0,0
09-34-01,47,46,0,0,0,53,0,0,0,42,0,0,0,49,0,0
09-34-11,31,45,0,0,0,53,31,0,0,43,0,0,0,46,0,0
09-34-21,31,42,0,0,0,53,31,0,0,47,0,0,0,44,0,0
09-34-31,41,40,0,0,0,55,36,0,0,43,0,0,0,50,0,0
09-34-41,31,41,0,0,0,54,0,0,0,42,0,0,0,48,0,0
09-34-51,31,46,0,0,31,55,34,0,0,34,0,0,0,50,0,0
09-35-01,31,44,0,0,0,53,34,0,0,0,0,0,0,50,0,0
09-35-11,31,42,0,0,0,55,42,0,0,0,0,0,0,49,0,0
09-35-21,50,41,0,0,0,51,0,0,0,37,0,0,0,53,0,0
09-35-31,42,46,0,0,0,54,0,0,0,45,0,0,0,58,0,0
09-35-41,32,50,0,0,0,53,0,0,0,42,0,0,0,57,0,0
09-35-51,32,46,0,0,0,54,0,0,0,48,0,0,0,58,0,0
09-36-01,31,46,0,0,0,54,31,0,0,49,0,0,0,58,0,0
09-36-11,0,47,0,0,0,54,36,0,0,44,0,0,0,58,0,0
09-36-21,31,47,0,0,0,54,0,0,0,45,0,0,0,57,0,0
09-36-31,36,49,0,0,0,53,0,0,0,46,0,0,0,57,0,0
09-36-41,32,49,0,0,0,55,0,0,0,0,0,0,0,57,0,0
09-36-51,32,47,0,0,0,54,0,0,0,48,0,0,0,58,0,0
09-37-01,41,50,0,0,0,54,0,0,0,44,0,0,0,59,0,0
09-37-11,33,48,0,0,0,53,0,0,0,43,0,0,0,58,0,0
09-37-21,31,45,0,0,0,52,0,0,0,46,0,0,0,57,0,0
09-37-31,32,43,0,0,0,53,0,0,0,46,0,0,0,56,0,0
09-37-41,33,43,0,0,0,53,0,0,0,44,0,0,0,56,0,0
09-37-51,0,45,0,0,0,53,0,0,0,39,0,0,0,58,0,0
09-38-01,38,46,0,0,31,54,0,0,0,45,0,0,0,56,0,0
09-38-11,34,45,0,0,31,54,31,0,0,42,0,0,0,56,0,0
09-38-21,39,47,0,0,0,54,0,0,0,46,0,0,0,57,0,0
09-38-31,33,47,0,0,35,52,0,0,0,45,0,0,0,58,0,0
09-38-41,34,49,0,0,0,53,0,0,0,41,0,0,0,57,0,0
09-38-51,33,47,0,31,0,53,0,0,0,38,0,0,0,58,0,0
09-39-01,33,52,0,0,0,54,0,0,0,46,0,0,0,57,42,0
09-39-11,0,50,0,33,0,54,0,0,0,46,0,0,0,58,32,0
09-39-21,0,49,0,31,33,50,39,0,0,41,0,0,0,57,0,0
09-39-31,40,44,0,0,0,52,0,0,0,45,0,0,0,58,0,0
09-39-41,33,49,0,0,0,51,0,0,0,42,0,0,0,58,0,0
09-39-51,51,47,0,31,0,53,31,0,0,42,0,0,0,56,0,0
09-40-01,32,49,0,0,0,51,35,0,0,44,0,0,0,59,0,0
09-40-11,33,48,0,31,0,52,0,0,0,40,0,0,0,58,31,0
09-40-21,31,48,0,0,0,53,0,0,0,46,0,0,0,59,0,0
09-40-31,33,43,0,0,0,51,0,0,0,46,0,0,34,59,35,0
09-40-41,40,47,0,0,0,53,31,0,0,42,0,0,0,56,50,0
09-40-51,38,46,0,0,0,54,0,0,0,42,0,0,0,58,31,0
09-41-01,33,39,0,0,0,54,0,0,0,44,0,0,0,59,35,0
09-41-11,0,49,0,0,0,55,34,0,0,46,0,0,0,58,31,0
09-41-21,0,43,0,0,0,53,0,0,0,46,0,0,0,58,0,0
09-41-31,54,44,0,0,0,51,37,0,0,50,0,0,0,57,0,0
09-41-41,0,43,0,0,0,52,0,0,0,0,0,0,0,54,0,0
09-41-51,32,48,0,0,0,50,0,0,0,38,0,0,0,55,0,0
09-42-01,0,49,0,0,0,51,0,0,0,31,0,0,0,57,0,0
09-42-11,53,49,0,0,0,49,0,0,0,0,0,0,0,57,32,0
09-42-21,0,49,0,0,0,50,0,0,0,33,0,0,0,56,0,0
09-42-31,53,49,0,0,0,50,0,0,0,33,0,0,0,57,0,0
09-42-41,0,50,0,0,0,52,31,0,0,42,0,0,0,58,0,0
09-42-51,0,49,0,0,0,51,32,0,0,41,0,0,0,57,0,0
09-43-01,0,49,0,0,0,51,0,0,0,38,0,0,0,58,0,0
09-43-11,0,42,0,0,0,51,0,0,0,34,0,0,0,57,0,0
09-43-21,0,48,0,0,0,52,0,0,0,31,0,0,0,57,0,0
09-43-31,53,49,0,0,0,51,31,0,0,33,0,0,0,57,0,0
09-43-41,0,49,0,0,0,51,40,0,0,31,0,0,0,57,0,0
09-43-51,53,49,0,0,0,51,31,0,0,0,0,0,0,56,0,0
09-44-01,0,49,0,0,0,50,0,0,0,0,0,0,0,55,0,0
09-44-11,0,49,0,0,0,51,42,0,0,0,0,0,0,56,0,0
09-44-21,0,49,0,0,0,52,0,0,0,0,0,0,0,56,0,0
09-44-31,53,48,0,0,0,49,0,0,0,0,0,0,0,57,0,0
09-44-41,0,48,0,0,0,52,0,0,0,0,0,0,0,56,0,0
09-44-51,53,48,0,0,0,49,0,0,0,0,0,0,0,56,31,0
09-45-01,0,48,0,0,0,51,31,0,0,0,0,0,0,55,0,0
09-45-11,0,49,0,0,0,51,31,0,0,0,0,0,0,57,31,0
09-45-21,53,49,0,0,0,50,0,0,0,0,0,0,0,57,33,0
09-45-31,53,49,0,0,0,52,0,0,0,0,0,0,0,57,32,0
09-45-41,0,48,0,0,0,51,0,0,0,0,0,0,0,56,0,0
09-45-51,0,49,0,0,0,51,0,0,0,0,0,0,0,55,0,0
09-46-01,53,48,0,0,0,51,0,0,0,0,0,0,0,56,0,0
09-46-11,0,49,0,0,0,50,0,0,0,0,0,0,0,57,0,0
09-46-21,53,48,0,42,0,50,0,0,0,0,0,0,0,57,0,0
09-46-31,0,0,0,0,0,52,0,0,0,0,0,0,0,56,32,0
09-46-41,0,48,0,0,0,52,0,0,0,0,0,0,0,54,0,0
09-46-51,0,49,0,31,0,50,0,0,0,0,0,0,0,57,0,0
09-47-01,0,46,0,0,0,51,33,0,0,0,0,0,0,57,0,0
09-47-11,53,49,0,0,0,50,32,0,0,0,0,0,0,56,0,0
09-47-21,53,49,0,0,0,52,31,0,0,0,0,0,0,57,0,0
09-47-31,0,48,0,31,0,48,0,0,0,0,0,0,0,57,0,0
09-47-41,53,48,0,0,0,51,0,0,0,0,0,0,0,58,0,0
09-47-51,0,49,0,0,0,50,0,0,0,0,0,0,0,55,0,0
09-48-01,0,48,0,0,0,52,0,0,0,0,0,0,0,57,32,0
09-48-11,0,49,0,0,0,52,0,0,0,0,0,0,0,55,0,0
09-48-21,0,49,0,0,0,52,0,0,0,0,0,0,0,55,0,0
09-48-31,0,49,0,0,0,51,0,0,0,0,0,0,0,57,0,0
09-48-41,0,47,0,0,0,50,0,0,0,0,0,0,0,57,0,0
09-48-51,0,49,0,0,0,51,0,0,0,0,0,0,0,55,0,0
09-49-01,0,49,0,0,0,51,0,0,0,0,0,0,0,56,31,0
09-49-11,0,49,0,0,0,51,0,0,0,0,0,0,0,56,0,0
09-49-21,53,48,0,0,0,50,0,0,0,0,0,0,0,55,0,0
09-49-31,0,49,0,0,0,51,0,0,0,0,0,0,0,51,0,0
09-49-41,0,48,0,0,0,50,36,0,0,0,0,0,0,57,0,0
09-49-51,0,48,0,0,0,51,0,0,0,0,0,0,0,57,0,0
09-50-01,0,49,0,0,0,51,0,0,0,0,0,0,0,57,0,0
09-50-11,0,49,0,0,0,51,0,0,0,0,0,0,0,56,31,0
09-50-21,0,49,0,0,0,51,0,0,0,0,0,0,0,56,0,0
09-50-31,49,49,0,0,0,51,0,0,0,0,0,0,0,57,0,0
09-50-41,53,49,0,0,0,50,0,0,0,0,0,0,0,55,0,0
09-50-51,0,47,0,0,0,51,0,0,0,0,0,0,0,57,0,0
09-51-01,53,48,0,0,0,50,0,0,0,0,0,0,0,57,0,0
09-51-11,0,49,0,0,0,51,0,0,0,0,0,0,0,56,0,0
09-51-21,0,49,0,0,0,49,0,0,0,0,0,0,0,56,0,0
09-51-31,0,47,0,0,0,51,0,0,0,0,0,0,0,54,0,0
09-51-41,0,48,0,0,0,51,0,0,0,0,0,0,0,55,0,0
09-51-51,49,49,0,0,0,51,31,0,0,0,0,0,0,56,0,0
09-52-01,0,47,0,0,0,52,38,0,0,0,0,0,0,57,0,0
09-52-11,53,49,0,0,0,51,0,0,0,0,0,0,0,57,0,0
09-52-21,49,48,0,0,0,50,0,0,0,0,0,0,0,56,32,0
09-52-31,0,49,0,0,0,50,0,0,0,0,0,0,0,56,0,0
09-52-41,0,47,0,0,0,51,0,0,0,0,0,0,0,55,0,0
09-52-51,0,49,0,0,0,51,39,0,0,0,0,0,0,58,0,0
09-53-01,0,47,0,0,0,51,34,0,0,0,0,0,0,55,0,0
09-53-11,0,49,0,0,0,52,0,0,0,0,0,0,0,57,0,0
09-53-21,0,49,0,0,0,50,0,0,0,0,0,0,0,57,0,0
09-53-31,0,49,0,0,0,49,0,0,31,0,0,0,0,54,0,0
09-53-41,0,49,0,0,0,52,0,0,0,0,0,0,0,57,0,0
09-53-51,0,49,0,0,0,50,0,0,0,0,0,0,0,55,31,0
09-54-01,0,49,0,34,0,51,33,0,0,0,0,0,0,56,0,0
09-54-11,0,48,0,0,0,52,0,0,0,0,0,0,0,57,32,0
09-54-21,49,49,0,0,0,52,45,0,0,0,0,0,0,56,0,0
09-54-31,0,48,0,0,0,51,31,0,0,0,0,0,0,56,0,0
09-54-41,0,48,0,0,0,51,0,0,0,0,0,0,0,57,0,0
09-54-51,0,48,0,0,0,51,0,0,0,0,0,0,0,56,0,0
09-55-01,0,48,0,0,0,50,0,0,0,0,0,0,0,56,34,0
09-55-11,53,49,0,0,0,52,0,0,0,0,0,0,0,55,32,0
09-55-21,0,49,0,0,0,50,0,0,0,0,0,0,0,57,0,0
09-55-31,0,49,0,31,0,51,0,0,0,0,0,0,0,56,0,0
09-55-41,0,47,0,0,0,50,0,0,0,0,0,0,0,56,0,0
09-55-51,0,48,0,32,0,50,0,0,0,0,0,0,0,58,0,0
09-56-01,0,49,0,32,0,49,0,0,0,0,0,0,0,54,0,0
09-56-11,0,46,0,31,0,51,34,0,0,0,0,0,0,57,32,0
09-56-21,0,49,0,0,0,50,0,0,0,0,0,0,0,57,0,0
09-56-31,0,49,0,0,0,51,0,0,0,0,0,0,0,55,0,0
09-56-41,0,49,0,0,0,50,0,0,0,0,0,0,0,56,0,0
09-56-51,0,47,0,0,0,51,0,0,0,0,0,0,0,57,0,0
09-57-01,0,48,0,0,0,48,33,0,0,0,0,0,0,57,0,0
09-57-11,0,48,0,0,0,47,33,0,0,0,0,0,0,56,0,0
09-57-21,0,48,0,0,0,50,31,0,0,0,0,0,0,55,0,0
09-57-31,50,47,0,0,0,50,31,0,0,0,0,0,0,52,0,0
09-57-41,0,45,0,0,0,51,31,0,0,0,0,0,0,56,0,0
09-57-51,0,45,0,0,0,51,38,0,0,0,0,0,0,56,0,0
09-58-01,0,47,0,0,0,49,0,0,0,0,0,0,0,56,0,0
09-58-11,0,48,0,0,0,52,0,0,0,0,0,0,0,56,0,0
